year,month,month_ID,firm_ID,stock_price,DPS,shares_outstanding,adjustment_coefficient,R_F
2015,1,1,1,954,0,2422000,1,6.506825543518218e-4
2015,2,2,1,960,0,2422000,1,5.834098546538314e-4
2015,3,3,1,1113,0,2422000,1,6.114423167053608e-4
2015,4,4,1,1081,0,2422000,1,6.848179857960326e-4
2015,5,5,1,1317,0,2422000,1,7.367713245845299e-4
2015,6,6,1,1366,29,2422000,1,6.953960765866892e-4
2015,7,7,1,1353,0,2422000,1,4.935368360524654e-4
2015,8,8,1,1209,0,2422000,1,4.7105999460134173e-4
2015,9,9,1,1291,0,2422000,1,5.524236313591246e-4
2015,10,10,1,1407,0,2422000,1,6.380331542604836e-4
2015,11,11,1,1562,0,2422000,1,6.728155091914232e-4
2015,12,12,1,1477,29,2422000,1,6.165383493766421e-4
2016,1,13,1,1561,0,2422000,1,4.327698904151324e-5
2016,2,14,1,1487,0,2422000,1,3.4643469071159566e-5
2016,3,15,1,1526,0,2422000,1,3.931858867494157e-5
2016,4,16,1,1542,0,2422000,1,6.623265139295986e-5
2016,5,17,1,1597,0,2422000,1,3.6010742415965065e-5
2016,6,18,1,1696,40,2422000,1,2.5720489585073665e-5
2016,7,19,1,1743,0,2422000,1,5.372061978208256e-5
2016,8,20,1,1889,0,2422000,1,1.0156758127966897e-4
2016,9,21,1,2506,0,2422000,1,8.202927112379008e-5
2016,10,22,1,2378,0,2422000,1,3.807413221889874e-5
2016,11,23,1,2537,0,2422000,1,2.0063917255108217e-5
2016,12,24,1,2842,40,2422000,1,2.4187631625682117e-5
2017,1,25,1,3797,0,2422000,1,2.4686156939715147e-4
2017,2,26,1,4859,0,2422000,1,2.555448304290341e-4
2017,3,27,1,4371,0,2422000,1,-7.040710798774999e-5
2017,4,28,1,4082,0,2906000,1.2,-6.005029589200579e-5
2017,5,29,1,3478,0,2906000,1,-1.546858426427934e-4
2017,6,30,1,4317,43,2906000,1,-2.019053925469912e-4
2017,7,31,1,4441,0,2906000,1,-9.948516341391951e-5
2017,8,32,1,4746,0,2906000,1,-7.306199922659694e-5
2017,9,33,1,4690,0,2906000,1,-4.0726631100334606e-5
2017,10,34,1,4369,0,2906000,1,-5.3538201817972085e-5
2017,11,35,1,3777,0,2906000,1,7.595918721511793e-5
2017,12,36,1,3915,43,2906000,1,2.2447959333098474e-4
2018,1,37,1,3789,0,2906000,1,4.626405016062174e-4
2018,2,38,1,3923,0,2906000,1,4.709409509511897e-4
2018,3,39,1,3678,0,2906000,1,4.941935011470922e-4
2018,4,40,1,3281,0,2906000,1,5.190200094467227e-4
2018,5,41,1,3701,0,2906000,1,4.7454538264174765e-4
2018,6,42,1,2986,43,2906000,1,5.020144424060936e-4
2018,7,43,1,2773,0,2906000,1,6.326050390087753e-4
2018,8,44,1,2566,0,2906000,1,4.988897985545918e-4
2018,9,45,1,2695,0,2906000,1,4.682935379037356e-4
2018,10,46,1,2902,0,2906000,1,4.1768156395343694e-4
2018,11,47,1,2705,0,2906000,1,3.941414616913267e-4
2018,12,48,1,2992,43,2906000,1,4.358740403119928e-4
2019,1,49,1,3079,0,2906000,1,-4.284323566529397e-6
2019,2,50,1,3255,0,2906000,1,6.86211131358352e-5
2019,3,51,1,3657,0,2906000,1,9.82037324248813e-5
2019,4,52,1,3642,0,2906000,1,-1.948190666647861e-4
2019,5,53,1,3644,0,2906000,1,-2.3293435599093068e-4
2019,6,54,1,3608,53,2906000,1,-1.393929495184192e-4
2019,7,55,1,3609,0,2906000,1,-1.373434292129241e-4
2019,8,56,1,3624,0,2906000,1,-8.194016339322899e-5
2019,9,57,1,4074,0,2906000,1,-4.2083320996896574e-5
2019,10,58,1,3874,0,2906000,1,-7.925778492923401e-5
2019,11,59,1,4260,0,2906000,1,-2.4916947603924202e-5
2019,12,60,1,4803,53,2906000,1,0
2020,1,61,1,4484,0,2906000,1,6.0069596402172464e-5
2020,2,62,1,3983,0,2906000,1,6.978353568447844e-5
2020,3,63,1,5189,0,2906000,1,3.370920296834414e-5
2020,4,64,1,5597,0,2906000,1,8.233147515380662e-6
2020,5,65,1,5574,0,2906000,1,5.265067636168696e-5
2020,6,66,1,4698,56,2906000,1,4.1563852309799176e-5
2020,7,67,1,4373,0,2906000,1,6.333753015758524e-5
2020,8,68,1,4063,0,2906000,1,3.403390730389742e-5
2020,9,69,1,3497,0,2906000,1,1.2661526414449327e-5
2020,10,70,1,3653,0,2906000,1,-4.699964362884604e-5
2020,11,71,1,4142,0,2906000,1,5.08402779372409e-5
2020,12,72,1,3341,56,2906000,1,0
2015,1,1,2,1242,0,1564000,1,4.682935379037356e-4
2015,2,2,2,1362,0,1564000,1,4.1768156395343694e-4
2015,3,3,2,1690,0,1564000,1,3.941414616913267e-4
2015,4,4,2,1788,0,1564000,1,4.358740403119928e-4
2015,5,5,2,2030,0,1564000,1,4.626405016062174e-4
2015,6,6,2,2167,3,1564000,1,4.709409509511897e-4
2015,7,7,2,2163,0,1564000,1,4.941935011470922e-4
2015,8,8,2,2097,0,1564000,1,5.190200094467227e-4
2015,9,9,2,2066,0,1564000,1,4.7454538264174765e-4
2015,10,10,2,2332,0,1564000,1,5.020144424060936e-4
2015,11,11,2,2424,0,1564000,1,6.326050390087753e-4
2015,12,12,2,2613,3,1564000,1,4.988897985545918e-4
2016,1,13,2,2533,0,1564000,1,-4.2083320996896574e-5
2016,2,14,2,2677,0,1564000,1,-7.925778492923401e-5
2016,3,15,2,2579,0,1564000,1,-2.4916947603924202e-5
2016,4,16,2,2655,0,1564000,1,0
2016,5,17,2,2830,0,1564000,1,-4.284323566529397e-6
2016,6,18,2,2395,7,1564000,1,6.86211131358352e-5
2016,7,19,2,2488,0,1564000,1,9.82037324248813e-5
2016,8,20,2,2674,0,1564000,1,-1.948190666647861e-4
2016,9,21,2,3239,0,1564000,1,-2.3293435599093068e-4
2016,10,22,2,3412,0,1564000,1,-1.393929495184192e-4
2016,11,23,2,3403,0,1564000,1,-1.373434292129241e-4
2016,12,24,2,3576,7,1564000,1,-8.194016339322899e-5
2017,1,25,2,4199,0,1564000,1,1.2661526414449327e-5
2017,2,26,2,4071,0,1564000,1,-4.699964362884604e-5
2017,3,27,2,3984,0,1564000,1,5.08402779372409e-5
2017,4,28,2,4205,0,1564000,1,0
2017,5,29,2,3995,0,1564000,1,6.0069596402172464e-5
2017,6,30,2,4966,7,1564000,1,6.978353568447844e-5
2017,7,31,2,5142,0,1564000,1,3.370920296834414e-5
2017,8,32,2,5426,0,1564000,1,8.233147515380662e-6
2017,9,33,2,5604,0,1564000,1,5.265067636168696e-5
2017,10,34,2,5469,0,1564000,1,4.1563852309799176e-5
2017,11,35,2,4757,0,1564000,1,6.333753015758524e-5
2017,12,36,2,5852,7,1564000,1,3.403390730389742e-5
2018,1,37,2,6398,0,1564000,1,3.772855493909446e-4
2018,2,38,2,5567,0,1564000,1,3.127117259491933e-4
2018,3,39,2,4519,0,1564000,1,2.789291802397577e-4
2018,4,40,2,4599,0,1564000,1,3.2726411891658726e-4
2018,5,41,2,4612,0,1564000,1,2.664878185557377e-4
2018,6,42,2,4415,12,1564000,1,2.4168261216524111e-4
2018,7,43,2,4489,0,1564000,1,2.604259696296518e-4
2018,8,44,2,4151,0,1564000,1,3.4465616818470275e-4
2018,9,45,2,4071,0,1564000,1,3.6904424204767613e-4
2018,10,46,2,4151,0,1564000,1,2.947826010987046e-4
2018,11,47,2,4196,0,1564000,1,3.0086036407010394e-4
2018,12,48,2,4542,12,1564000,1,3.275954343995545e-4
2019,1,49,2,4391,0,1564000,1,6.380331542604836e-4
2019,2,50,2,4551,0,1564000,1,6.728155091914232e-4
2019,3,51,2,5159,0,1564000,1,6.165383493766421e-4
2019,4,52,2,5195,0,1564000,1,6.506825543518218e-4
2019,5,53,2,5399,0,1564000,1,5.834098546538314e-4
2019,6,54,2,5477,12,1564000,1,6.114423167053608e-4
2019,7,55,2,5809,0,1564000,1,6.848179857960326e-4
2019,8,56,2,5839,0,1564000,1,7.367713245845299e-4
2019,9,57,2,6280,0,1564000,1,6.953960765866892e-4
2019,10,58,2,6139,0,1564000,1,4.935368360524654e-4
2019,11,59,2,6799,0,1564000,1,4.7105999460134173e-4
2019,12,60,2,6370,12,1564000,1,5.524236313591246e-4
2020,1,61,2,5868,0,1564000,1,3.807413221889874e-5
2020,2,62,2,5803,0,1564000,1,2.0063917255108217e-5
2020,3,63,2,5382,0,1564000,1,2.4187631625682117e-5
2020,4,64,2,5045,0,1564000,1,4.327698904151324e-5
