year,firm_ID,industry_ID,sales,OX,NFE,X,OA,FA,OL,FO,NOA,NFO,BE,lagged_BE,ROE,lagged_NOA,lagged_NFO,RNOA,PM,ATO,lagged_FLEV,NBC,ROE_DuPont,DuPont_gap
2015,1,1,5261.4,437.49,NA,286.64,13005.55,3543.43,4372.96,2480.72,8632.59,-1062.71,9695.3,NA,NA,NA,NA,NA,0.08315087239137872,NA,NA,NA,NA,NA
2016,1,1,5948.96,564.14,50.66749760937501,513.48,13865.58,4642.16,4534.22,3959.7,9331.36,-682.46,10013.82,9695.3,0.05296174435035533,8632.59,-1062.71,0.06535002820706184,0.09483002070950217,0.6891280600607697,-0.10961084236692006,-0.04767763322954993,0.05296097102623178,7.733241235499677e-7
2017,1,1,6505.06,691.18,29.54315702499928,661.64,13952.58,7743.99,5111.22,6159.02,8841.36,-1584.9699999999993,10426.33,10013.82,0.06607268754581169,9331.36,-682.46,0.07407066065396684,0.10625267099765412,0.6971181049707652,-0.06815181419278557,-0.04328921405650042,0.06607237227901047,3.1526680122073714e-7
2018,1,1,6846.38,751.29,86.48650016801827,664.8,18818.48,7284.72,5137.28,10123.91,13681.2,2839.1899999999996,10842.010000000002,10426.33,0.06376164959290564,8841.36,-1584.9699999999993,0.08497448356361464,0.10973536379809476,0.774358243528145,-0.15201609770647959,-0.05456664805517979,0.06376198526537927,-3.3567247362253916e-7
2019,1,1,7572.24,958.53,298.0497738191198,660.48,18190,9735.13,5487.96,11362.22,12702.04,1627.0900000000001,11074.95,10842.010000000002,0.060918593508030326,13681.2,2839.1899999999996,0.07006183668099289,0.12658473582453805,0.5534777651083238,0.2618693397257519,0.1049770440932519,0.060918614369556943,-2.0861526617288462e-8
2020,1,1,7537.63,778.37,-65.45877194758576,843.83,20462.86,10274.25,5371.38,13772.15,15091.48,3497.8999999999996,11593.58,11074.95,0.07619266904139523,12702.04,1627.0900000000001,0.061279133115625516,0.10326455397784184,0.5934188524048105,0.14691623889949842,-0.04023057848526249,0.07619255815580077,1.1088559445648905e-07
2015,2,1,3505.75,45.82,5.751119126670516,40.07,2977.82,2258.33,1840.35,2340.89,1137.4700000000003,82.55999999999995,1054.9100000000003,NA,NA,NA,NA,NA,0.013069956500035656,NA,NA,NA,NA,NA
2016,2,1,3491.27,51.25,1.876541032191374,49.37,3184.8,1881.83,1769.17,2215.87,1415.63,334.03999999999996,1081.5900000000001,1054.9100000000003,0.04680020096501122,1137.4700000000003,82.55999999999995,0.04505613334857182,0.01467947194001037,3.069329300992553,0.07826260060099906,0.022729421417046695,0.046803479887202334,-3.278922191117528e-6
2017,2,1,3945.66,83.43,7.527881494414544,75.9,3392.2,2425.21,1955.26,2727.35,1436.9399999999998,302.1399999999999,1134.8,1081.5900000000001,0.07017446537042686,1415.63,334.03999999999996,0.0589348911791923,0.021144751448426882,2.787211347597889,0.3088416128107693,0.022535868442146285,0.07017642406603745,-1.958695610593253e-6
2018,2,1,4139.33,93.4,6.816627151105772,86.58,3569.31,2331.02,2022.12,2694.5,1547.19,363.48,1183.71,1134.8,0.07629538244624604,1436.9399999999998,302.1399999999999,0.06499923448439045,0.022564038141438352,2.8806561164697206,0.2662495593937257,0.022561154269894006,0.07629835464301571,-2.9721967696738627e-6
