month_ID,year,month,month_date,FF_portfolio_type,R_F,portfolio_return,firms
13,2016,1,2016-01-01,SL,8.202927112379008e-5,0.03442396708531514,140
13,2016,1,2016-01-01,SN,8.202927112379008e-5,0.040738098417989234,210
13,2016,1,2016-01-01,SH,8.202927112379008e-5,0.049300261956898385,271
13,2016,1,2016-01-01,BL,8.202927112379008e-5,0.048791807647783327,233
13,2016,1,2016-01-01,BN,8.202927112379008e-5,0.043034758783719665,286
13,2016,1,2016-01-01,BH,8.202927112379008e-5,0.03786807006047051,101
14,2016,2,2016-02-01,SL,7.595918721511793e-5,0.01615775310215326,140
14,2016,2,2016-02-01,SN,7.595918721511793e-5,0.039042785025636344,210
14,2016,2,2016-02-01,SH,7.595918721511793e-5,0.02650268717414939,271
14,2016,2,2016-02-01,BL,7.595918721511793e-5,0.018793155360761607,233
14,2016,2,2016-02-01,BN,7.595918721511793e-5,0.043267386023417,286
14,2016,2,2016-02-01,BH,7.595918721511793e-5,0.03997419789020914,101
15,2016,3,2016-03-01,SL,7.595918721511793e-5,-0.011442699233133551,140
15,2016,3,2016-03-01,SN,7.595918721511793e-5,-0.007534281340948125,210
15,2016,3,2016-03-01,SH,7.595918721511793e-5,-8.213692464543492e-4,271
15,2016,3,2016-03-01,BL,7.595918721511793e-5,-0.06506729318719207,233
15,2016,3,2016-03-01,BN,7.595918721511793e-5,-0.05817205688573477,286
15,2016,3,2016-03-01,BH,7.595918721511793e-5,-0.035989459320875446,101
16,2016,4,2016-04-01,SL,8.202927112379008e-5,-0.05089433457955658,140
16,2016,4,2016-04-01,SN,8.202927112379008e-5,-0.02967179158909973,210
16,2016,4,2016-04-01,SH,8.202927112379008e-5,-0.008432886948327046,271
16,2016,4,2016-04-01,BL,8.202927112379008e-5,-0.009606556949437744,233
16,2016,4,2016-04-01,BN,8.202927112379008e-5,0.013125322632295265,286
16,2016,4,2016-04-01,BH,8.202927112379008e-5,0.016128562170349397,101
17,2016,5,2016-05-01,SL,8.202927112379008e-5,-0.0504191804034441,140
17,2016,5,2016-05-01,SN,8.202927112379008e-5,-0.020829203228513924,210
17,2016,5,2016-05-01,SH,8.202927112379008e-5,-0.0138820887854994,271
17,2016,5,2016-05-01,BL,8.202927112379008e-5,-0.006458717096582294,233
17,2016,5,2016-05-01,BN,8.202927112379008e-5,-0.003124213913036366,286
17,2016,5,2016-05-01,BH,8.202927112379008e-5,-0.00901235231155309,101
18,2016,6,2016-06-01,SL,8.202927112379008e-5,-0.010094338203867459,140
18,2016,6,2016-06-01,SN,8.202927112379008e-5,-0.02110001025048513,210
18,2016,6,2016-06-01,SH,8.202927112379008e-5,-0.019578606560226506,271
18,2016,6,2016-06-01,BL,8.202927112379008e-5,-0.045272292927525916,233
18,2016,6,2016-06-01,BN,8.202927112379008e-5,-0.025807209937634554,286
18,2016,6,2016-06-01,BH,8.202927112379008e-5,-0.03094917424912865,101
19,2016,7,2016-07-01,SL,8.202927112379008e-5,0.016136256655328855,140
19,2016,7,2016-07-01,SN,8.202927112379008e-5,0.003088512664067262,210
19,2016,7,2016-07-01,SH,8.202927112379008e-5,0.002407208947486338,271
19,2016,7,2016-07-01,BL,8.202927112379008e-5,0.037353917281894536,233
19,2016,7,2016-07-01,BN,8.202927112379008e-5,0.027623235568306783,286
19,2016,7,2016-07-01,BH,8.202927112379008e-5,0.0011261589882712397,101
20,2016,8,2016-08-01,SL,8.202927112379008e-5,0.06182280915885359,140
20,2016,8,2016-08-01,SN,8.202927112379008e-5,0.043623640119783036,210
20,2016,8,2016-08-01,SH,8.202927112379008e-5,0.04079361344597674,271
20,2016,8,2016-08-01,BL,8.202927112379008e-5,0.06006836275759303,233
20,2016,8,2016-08-01,BN,8.202927112379008e-5,0.044382632125793006,286
20,2016,8,2016-08-01,BH,8.202927112379008e-5,0.04809153214319093,101
21,2016,9,2016-09-01,SL,8.202927112379008e-5,0.0768899153041691,140
21,2016,9,2016-09-01,SN,8.202927112379008e-5,0.05652133160438305,210
21,2016,9,2016-09-01,SH,8.202927112379008e-5,0.05923977266005936,271
21,2016,9,2016-09-01,BL,8.202927112379008e-5,0.023653940523786502,233
21,2016,9,2016-09-01,BN,8.202927112379008e-5,0.01857291380516151,286
21,2016,9,2016-09-01,BH,8.202927112379008e-5,0.023532510430734985,101
22,2016,10,2016-10-01,SL,7.595918721511793e-5,0.01476992979913522,140
22,2016,10,2016-10-01,SN,7.595918721511793e-5,0.011307585004604551,210
22,2016,10,2016-10-01,SH,7.595918721511793e-5,0.0017271622924903754,271
22,2016,10,2016-10-01,BL,7.595918721511793e-5,-0.013613885042757302,233
22,2016,10,2016-10-01,BN,7.595918721511793e-5,-0.010339858681165869,286
22,2016,10,2016-10-01,BH,7.595918721511793e-5,-0.01644078585703356,101
23,2016,11,2016-11-01,SL,7.595918721511793e-5,0.03933351674882716,140
23,2016,11,2016-11-01,SN,7.595918721511793e-5,0.05305475843058013,210
23,2016,11,2016-11-01,SH,7.595918721511793e-5,0.05349944320737828,271
23,2016,11,2016-11-01,BL,7.595918721511793e-5,0.02420709330828669,233
23,2016,11,2016-11-01,BN,7.595918721511793e-5,0.07289337071994233,286
23,2016,11,2016-11-01,BH,7.595918721511793e-5,0.05955164520339358,101
24,2016,12,2016-12-01,SL,7.595918721511793e-5,-0.030231128902374615,140
24,2016,12,2016-12-01,SN,7.595918721511793e-5,-0.008388019967498023,210
24,2016,12,2016-12-01,SH,7.595918721511793e-5,-0.01681511267407368,271
24,2016,12,2016-12-01,BL,7.595918721511793e-5,-0.012762433340858418,233
24,2016,12,2016-12-01,BN,7.595918721511793e-5,0.01737768066960547,286
24,2016,12,2016-12-01,BH,7.595918721511793e-5,-0.012271905679157985,101
25,2017,1,2017-01-01,SL,7.595918721511793e-5,0.08536137339486273,141
25,2017,1,2017-01-01,SN,7.595918721511793e-5,0.08303448261990448,224
25,2017,1,2017-01-01,SH,7.595918721511793e-5,0.07861085653501251,270
25,2017,1,2017-01-01,BL,7.595918721511793e-5,0.04599536053158122,240
25,2017,1,2017-01-01,BN,7.595918721511793e-5,0.06844745735931902,284
25,2017,1,2017-01-01,BH,7.595918721511793e-5,0.0558242328003208,111
26,2017,2,2017-02-01,SL,7.595918721511793e-5,-9.211181375978963e-4,141
26,2017,2,2017-02-01,SN,7.595918721511793e-5,-0.0012224614185462513,224
26,2017,2,2017-02-01,SH,7.595918721511793e-5,0.01810850131835247,270
26,2017,2,2017-02-01,BL,7.595918721511793e-5,-0.018064737159553063,240
26,2017,2,2017-02-01,BN,7.595918721511793e-5,0.028476728468308107,284
26,2017,2,2017-02-01,BH,7.595918721511793e-5,0.007734136746777194,111
27,2017,3,2017-03-01,SL,7.595918721511793e-5,0.02316451671086431,141
27,2017,3,2017-03-01,SN,7.595918721511793e-5,0.012778998200368775,224
27,2017,3,2017-03-01,SH,7.595918721511793e-5,0.0045951777604558,270
27,2017,3,2017-03-01,BL,7.595918721511793e-5,0.018378756257407147,240
27,2017,3,2017-03-01,BN,7.595918721511793e-5,-0.019233665952377133,284
27,2017,3,2017-03-01,BH,7.595918721511793e-5,0.02189237268743314,111
28,2017,4,2017-04-01,SL,8.202927112379008e-5,0.07977453164103414,141
28,2017,4,2017-04-01,SN,8.202927112379008e-5,0.06301635371403219,224
28,2017,4,2017-04-01,SH,8.202927112379008e-5,0.07367273278613236,270
28,2017,4,2017-04-01,BL,8.202927112379008e-5,0.06491664245697162,240
28,2017,4,2017-04-01,BN,8.202927112379008e-5,0.05626719549385672,284
28,2017,4,2017-04-01,BH,8.202927112379008e-5,0.0760589983981547,111
29,2017,5,2017-05-01,SL,7.595918721511793e-5,0.006684432991570144,141
29,2017,5,2017-05-01,SN,7.595918721511793e-5,0.023140421036483297,224
29,2017,5,2017-05-01,SH,7.595918721511793e-5,0.020212746374256494,270
29,2017,5,2017-05-01,BL,7.595918721511793e-5,0.016143850642916364,240
29,2017,5,2017-05-01,BN,7.595918721511793e-5,0.017741539718819404,284
29,2017,5,2017-05-01,BH,7.595918721511793e-5,0.035292811455569825,111
30,2017,6,2017-06-01,SL,7.595918721511793e-5,0.06600399397471726,141
30,2017,6,2017-06-01,SN,7.595918721511793e-5,0.031065421236810862,224
30,2017,6,2017-06-01,SH,7.595918721511793e-5,0.042436943856540045,270
30,2017,6,2017-06-01,BL,7.595918721511793e-5,0.030470505157459655,240
30,2017,6,2017-06-01,BN,7.595918721511793e-5,-0.013232018267894103,284
30,2017,6,2017-06-01,BH,7.595918721511793e-5,0.05753035112982464,111
31,2017,7,2017-07-01,SL,7.595918721511793e-5,0.025183164663985468,141
31,2017,7,2017-07-01,SN,7.595918721511793e-5,0.04626358082913529,224
31,2017,7,2017-07-01,SH,7.595918721511793e-5,0.04891376135425673,270
31,2017,7,2017-07-01,BL,7.595918721511793e-5,0.03725953616257731,240
31,2017,7,2017-07-01,BN,7.595918721511793e-5,0.0655922761195015,284
31,2017,7,2017-07-01,BH,7.595918721511793e-5,0.06379649124972946,111
32,2017,8,2017-08-01,SL,7.595918721511793e-5,0.03388709738778044,141
32,2017,8,2017-08-01,SN,7.595918721511793e-5,0.0010594056029094184,224
32,2017,8,2017-08-01,SH,7.595918721511793e-5,-0.017071426217148633,270
32,2017,8,2017-08-01,BL,7.595918721511793e-5,-0.028126574748541307,240
32,2017,8,2017-08-01,BN,7.595918721511793e-5,-0.028882556288611645,284
32,2017,8,2017-08-01,BH,7.595918721511793e-5,-0.017077199538423425,111
33,2017,9,2017-09-01,SL,7.595918721511793e-5,0.021761004400433437,141
33,2017,9,2017-09-01,SN,7.595918721511793e-5,0.01374930385715999,224
33,2017,9,2017-09-01,SH,7.595918721511793e-5,0.0045935219448525605,270
33,2017,9,2017-09-01,BL,7.595918721511793e-5,0.01202726594962651,240
33,2017,9,2017-09-01,BN,7.595918721511793e-5,0.0039473879440091635,284
33,2017,9,2017-09-01,BH,7.595918721511793e-5,7.386728427026308e-4,111
34,2017,10,2017-10-01,SL,7.595918721511793e-5,-0.10063286562966463,141
34,2017,10,2017-10-01,SN,7.595918721511793e-5,-0.09156772249571817,224
34,2017,10,2017-10-01,SH,7.595918721511793e-5,-0.06402109765705309,270
34,2017,10,2017-10-01,BL,7.595918721511793e-5,-0.05730666171405052,240
34,2017,10,2017-10-01,BN,7.595918721511793e-5,-0.09036279860311713,284
34,2017,10,2017-10-01,BH,7.595918721511793e-5,-0.09414591374485635,111
35,2017,11,2017-11-01,SL,7.595918721511793e-5,-0.07673908494817713,141
35,2017,11,2017-11-01,SN,7.595918721511793e-5,-0.05504118610389973,224
35,2017,11,2017-11-01,SH,7.595918721511793e-5,-0.060163637065747615,270
35,2017,11,2017-11-01,BL,7.595918721511793e-5,-0.08296755435276405,240
35,2017,11,2017-11-01,BN,7.595918721511793e-5,-0.08123719028227014,284
35,2017,11,2017-11-01,BH,7.595918721511793e-5,-0.07524163657660773,111
36,2017,12,2017-12-01,SL,7.595918721511793e-5,0.09147744049536402,141
36,2017,12,2017-12-01,SN,7.595918721511793e-5,0.0917030101041029,224
36,2017,12,2017-12-01,SH,7.595918721511793e-5,0.08821375084758308,270
36,2017,12,2017-12-01,BL,7.595918721511793e-5,0.10858098033109717,240
36,2017,12,2017-12-01,BN,7.595918721511793e-5,0.10608621088064388,284
36,2017,12,2017-12-01,BH,7.595918721511793e-5,0.15781063266431578,111
37,2018,1,2018-01-01,SL,7.595918721511793e-5,0.010187077937239964,152
37,2018,1,2018-01-01,SN,7.595918721511793e-5,0.010718459358264133,224
37,2018,1,2018-01-01,SH,7.595918721511793e-5,0.01857629828215621,258
37,2018,1,2018-01-01,BL,7.595918721511793e-5,0.015652880995925475,229
37,2018,1,2018-01-01,BN,7.595918721511793e-5,0.01367705265247111,282
37,2018,1,2018-01-01,BH,7.595918721511793e-5,0.004760121726209092,123
38,2018,2,2018-02-01,SL,7.595918721511793e-5,-0.023746800934911293,152
38,2018,2,2018-02-01,SN,7.595918721511793e-5,-0.016537477193486284,224
38,2018,2,2018-02-01,SH,7.595918721511793e-5,-0.013000567861445954,258
38,2018,2,2018-02-01,BL,7.595918721511793e-5,-0.026832491822382554,229
38,2018,2,2018-02-01,BN,7.595918721511793e-5,-0.006966146155645214,282
38,2018,2,2018-02-01,BH,7.595918721511793e-5,-0.05111260373112464,123
39,2018,3,2018-03-01,SL,8.202927112379008e-5,-0.055696423031307805,152
39,2018,3,2018-03-01,SN,8.202927112379008e-5,-0.0513453913239373,224
39,2018,3,2018-03-01,SH,8.202927112379008e-5,-0.058479253613676986,258
39,2018,3,2018-03-01,BL,8.202927112379008e-5,-0.10021465893901518,229
39,2018,3,2018-03-01,BN,8.202927112379008e-5,-0.03957396171443407,282
39,2018,3,2018-03-01,BH,8.202927112379008e-5,-0.03730916444574017,123
40,2018,4,2018-04-01,SL,8.202927112379008e-5,-0.048248051672866735,152
40,2018,4,2018-04-01,SN,8.202927112379008e-5,-0.057336388660030664,224
40,2018,4,2018-04-01,SH,8.202927112379008e-5,-0.05808172887726611,258
40,2018,4,2018-04-01,BL,8.202927112379008e-5,-0.08702197156908514,229
40,2018,4,2018-04-01,BN,8.202927112379008e-5,-0.07411970452795343,282
40,2018,4,2018-04-01,BH,8.202927112379008e-5,-0.09096214572948821,123
41,2018,5,2018-05-01,SL,8.202927112379008e-5,0.05367578578662978,152
41,2018,5,2018-05-01,SN,8.202927112379008e-5,0.04421930999792368,224
41,2018,5,2018-05-01,SH,8.202927112379008e-5,0.036596489527198274,258
41,2018,5,2018-05-01,BL,8.202927112379008e-5,0.04160473014612558,229
41,2018,5,2018-05-01,BN,8.202927112379008e-5,0.0324862450317499,282
41,2018,5,2018-05-01,BH,8.202927112379008e-5,0.026005124436657843,123
42,2018,6,2018-06-01,SL,7.595918721511793e-5,-0.012205204154361153,152
42,2018,6,2018-06-01,SN,7.595918721511793e-5,-0.006163590722268019,224
42,2018,6,2018-06-01,SH,7.595918721511793e-5,-0.001582373654867424,258
42,2018,6,2018-06-01,BL,7.595918721511793e-5,0.0041640212367093955,229
42,2018,6,2018-06-01,BN,7.595918721511793e-5,-0.030032932829515212,282
42,2018,6,2018-06-01,BH,7.595918721511793e-5,0.011481579215198013,123
43,2018,7,2018-07-01,SL,7.595918721511793e-5,0.013834870245716769,152
43,2018,7,2018-07-01,SN,7.595918721511793e-5,0.014239196204211957,224
43,2018,7,2018-07-01,SH,7.595918721511793e-5,0.013808732845717252,258
43,2018,7,2018-07-01,BL,7.595918721511793e-5,0.013566762191253226,229
43,2018,7,2018-07-01,BN,7.595918721511793e-5,0.031370480615785096,282
43,2018,7,2018-07-01,BH,7.595918721511793e-5,0.05082946004279317,123
44,2018,8,2018-08-01,SL,8.202927112379008e-5,-0.04288618704514401,152
44,2018,8,2018-08-01,SN,8.202927112379008e-5,-0.06076992116838844,224
44,2018,8,2018-08-01,SH,8.202927112379008e-5,-0.07966961518089008,258
44,2018,8,2018-08-01,BL,8.202927112379008e-5,-0.09641221625806573,229
44,2018,8,2018-08-01,BN,8.202927112379008e-5,-0.08501212993024572,282
44,2018,8,2018-08-01,BH,8.202927112379008e-5,-0.100792644985734,123
45,2018,9,2018-09-01,SL,8.202927112379008e-5,-0.005978315986651326,152
45,2018,9,2018-09-01,SN,8.202927112379008e-5,0.04391523488783923,224
45,2018,9,2018-09-01,SH,8.202927112379008e-5,0.046879303994448396,258
45,2018,9,2018-09-01,BL,8.202927112379008e-5,0.06810350339780152,229
45,2018,9,2018-09-01,BN,8.202927112379008e-5,0.0441272310111072,282
45,2018,9,2018-09-01,BH,8.202927112379008e-5,0.04678623548193266,123
46,2018,10,2018-10-01,SL,8.202927112379008e-5,0.014313764915139299,152
46,2018,10,2018-10-01,SN,8.202927112379008e-5,0.018452135292849673,224
46,2018,10,2018-10-01,SH,8.202927112379008e-5,0.027967471825136404,258
46,2018,10,2018-10-01,BL,8.202927112379008e-5,-0.009675943879515677,229
46,2018,10,2018-10-01,BN,8.202927112379008e-5,-0.013236305401173097,282
46,2018,10,2018-10-01,BH,8.202927112379008e-5,0.014779543391447391,123
47,2018,11,2018-11-01,SL,8.202927112379008e-5,-4.3811183951406437e-4,152
47,2018,11,2018-11-01,SN,8.202927112379008e-5,-2.672212778822068e-4,224
47,2018,11,2018-11-01,SH,8.202927112379008e-5,-9.83215442772336e-4,258
47,2018,11,2018-11-01,BL,8.202927112379008e-5,0.007995661117477033,229
47,2018,11,2018-11-01,BN,8.202927112379008e-5,-0.001591533573105361,282
47,2018,11,2018-11-01,BH,8.202927112379008e-5,-0.008584205085420585,123
48,2018,12,2018-12-01,SL,8.202927112379008e-5,0.028605258978269158,152
48,2018,12,2018-12-01,SN,8.202927112379008e-5,0.060410016132677234,224
48,2018,12,2018-12-01,SH,8.202927112379008e-5,0.05975979929050142,258
48,2018,12,2018-12-01,BL,8.202927112379008e-5,0.041697780440051804,229
48,2018,12,2018-12-01,BN,8.202927112379008e-5,0.04619349592220265,282
48,2018,12,2018-12-01,BH,8.202927112379008e-5,0.0661296047031201,123
49,2019,1,2019-01-01,SL,7.595918721511793e-5,0.022465691162694496,167
49,2019,1,2019-01-01,SN,7.595918721511793e-5,0.061179019412521345,225
49,2019,1,2019-01-01,SH,7.595918721511793e-5,0.07237674539183646,260
49,2019,1,2019-01-01,BL,7.595918721511793e-5,0.03228620619934105,224
49,2019,1,2019-01-01,BN,7.595918721511793e-5,0.04306124837033693,297
49,2019,1,2019-01-01,BH,7.595918721511793e-5,0.05325819013567021,131
50,2019,2,2019-02-01,SL,7.899422916945401e-5,0.016163383242513193,167
50,2019,2,2019-02-01,SN,7.899422916945401e-5,0.04447586892848049,225
50,2019,2,2019-02-01,SH,7.899422916945401e-5,0.050727427919390264,260
50,2019,2,2019-02-01,BL,7.899422916945401e-5,0.0304320172486202,224
50,2019,2,2019-02-01,BN,7.899422916945401e-5,0.03400859736783771,297
50,2019,2,2019-02-01,BH,7.899422916945401e-5,0.05400277511125399,131
51,2019,3,2019-03-01,SL,8.202927112379008e-5,0.061439318634769015,167
51,2019,3,2019-03-01,SN,8.202927112379008e-5,0.06176619620587911,225
51,2019,3,2019-03-01,SH,8.202927112379008e-5,0.048414928502462914,260
51,2019,3,2019-03-01,BL,8.202927112379008e-5,-0.0152335676998535,224
51,2019,3,2019-03-01,BN,8.202927112379008e-5,3.93606478645548e-4,297
51,2019,3,2019-03-01,BH,8.202927112379008e-5,0.018160961160930723,131
52,2019,4,2019-04-01,SL,8.202927112379008e-5,0.011241877075179176,167
52,2019,4,2019-04-01,SN,8.202927112379008e-5,0.037615480186295645,225
52,2019,4,2019-04-01,SH,8.202927112379008e-5,0.04666477594812247,260
52,2019,4,2019-04-01,BL,8.202927112379008e-5,-0.005957595225117528,224
52,2019,4,2019-04-01,BN,8.202927112379008e-5,0.012988391227676184,297
52,2019,4,2019-04-01,BH,8.202927112379008e-5,-0.002062702875054336,131
53,2019,5,2019-05-01,SL,8.202927112379008e-5,-0.0022920561389322656,167
53,2019,5,2019-05-01,SN,8.202927112379008e-5,2.7775287171316376e-4,225
53,2019,5,2019-05-01,SH,8.202927112379008e-5,3.136491147982813e-4,260
53,2019,5,2019-05-01,BL,8.202927112379008e-5,-0.022863220154658647,224
53,2019,5,2019-05-01,BN,8.202927112379008e-5,0.0022052030154330986,297
53,2019,5,2019-05-01,BH,8.202927112379008e-5,0.004878965619293713,131
54,2019,6,2019-06-01,SL,7.595918721511793e-5,-0.025809291911988365,167
54,2019,6,2019-06-01,SN,7.595918721511793e-5,0.0023703491868467346,225
54,2019,6,2019-06-01,SH,7.595918721511793e-5,0.0027936434135647156,260
54,2019,6,2019-06-01,BL,7.595918721511793e-5,0.0053265634201771555,224
54,2019,6,2019-06-01,BN,7.595918721511793e-5,0.009173236613130308,297
54,2019,6,2019-06-01,BH,7.595918721511793e-5,0.0041555525604790484,131
55,2019,7,2019-07-01,SL,8.202927112379008e-5,0.09068748922281003,167
55,2019,7,2019-07-01,SN,8.202927112379008e-5,0.04719680635900221,225
55,2019,7,2019-07-01,SH,8.202927112379008e-5,0.030937837414453908,260
55,2019,7,2019-07-01,BL,8.202927112379008e-5,0.02614608012190011,224
