relative_day,event_strength,events,AAR,CAAR,standard_deviation_AR,standard_deviation_CAR,standard_error_AAR,standard_error_CAAR,t_AAR,t_CAAR,p_AAR,p_CAAR,significance_AAR,significance_CAAR
-30,1,793,-3.3278909794266445e-4,-3.3278909794266445e-4,0.007997406425572387,0.007997406425572387,2.8399622916299013e-4,2.8399622916299013e-4,-1.1718081571839156,-1.1718081571839156,0.24162646925142836,0.24162646925142836,,
-29,1,793,3.4600534196445505e-4,1.321624402179061e-5,0.008118299450962612,0.011118763494427884,2.8828926636979585e-4,3.948388686706803e-4,1.2002019579897412,0.03347249997520827,0.2304197878081542,0.9733062290643144,,
-28,1,793,-3.0469256762574248e-5,-1.7253012740783687e-5,0.007676306087647555,0.013468831598903096,2.7259362182994e-4,4.7829223397834734e-4,-0.11177538402414555,-0.03607211557101039,0.9110298270634223,0.9712339459027541,,
-27,1,793,2.4230808037404786e-4,2.2505506763326416e-4,0.007951981873577395,0.015165277467094214,2.823831560250856e-4,5.385347931166283e-4,0.8580826271115206,0.417902558033098,0.3911064376071288,0.6761316369573089,,
-26,1,793,4.2018448736672e-4,6.452395549999842e-4,0.00824832353992034,0.017335884411255467,2.929065571512513e-4,6.156153057645368e-4,1.4345342468715878,1.0481213656613961,0.15181459055699015,0.2949024339766243,,
-25,1,793,2.0818460792498787e-4,8.534241629249721e-4,0.008076410806517099,0.01924759091640215,2.868017569906007e-4,6.835019942529436e-4,0.7258833073739178,1.2486052273450212,0.46812475306953705,0.21217845178130262,,
-24,1,793,5.336551558187117e-4,0.0013870793187436838,0.008057598244275165,0.02094925480908264,2.861337033175349e-4,7.439298508739089e-4,1.8650552159054525,1.8645297229493543,0.06254327871244952,0.06261706107888705,*,*
-23,1,793,-2.8459779889261135e-5,0.0013586195388544226,0.00816279088302541,0.02281698264001516,2.8986920344733304e-4,8.102548108498729e-4,-0.09818145408617737,1.6767805888487997,0.9218130509065637,0.09398000967800815,,*
-22,1,793,-1.423801831296608e-4,0.001216239355724762,0.007974689161226591,0.02479137555220739,2.831895154525958e-4,8.803675589222702e-4,-0.5027734974654963,1.381513145729336,0.6152633029103936,0.16751083343692552,,
-21,1,793,-1.915466508744187e-4,0.0010246927048503432,0.008309529480738917,0.026729658116355588,2.9508004383804363e-4,9.491979909371171e-4,-0.6491345479789551,1.0795352651754901,0.516439604203627,0.2806778238309215,,
-20,1,793,1.928019863486237e-4,0.0012174946911989667,0.008061340541901553,0.028454656221292382,2.86266596202771e-4,0.001010454469731152,0.6735050086390674,1.2048981202714668,0.500822554199884,0.22860254040115183,,
-19,1,793,5.603231521334864e-4,0.0017778178433324532,0.008053960303185653,0.029191188092278202,2.8600451624158054e-4,0.001036609483355255,1.9591409237055406,1.7150314287865527,0.05044675772411544,0.08673062647419558,*,*
-18,1,793,6.854447601142135e-4,0.0024632626034466667,0.008011414431624661,0.030059399930982608,2.844936680432023e-4,0.0010674405897397315,2.4093497926643632,2.3076343799585803,0.016208176254002817,0.021276435098826763,**,**
-17,1,793,2.4445259394737136e-4,0.002707715197394038,0.00816129087824849,0.031651742051761175,2.898159367158825e-4,0.0011239863164133818,0.8434753337495635,2.409028613474854,0.39921732752538985,0.016222340591551587,,**
