ME_rank10,model_name,term,estimate,std.error,statistic,p.value,stars,estimate_display
1,CAPM,(Intercept),0.012411817098026644,0.004117519971114524,3.0143914747466383,0.0038151050307842545,***,0.01241***
1,CAPM,R_Me,0.6732532580104019,0.09958401617094043,6.760655815032932,7.388435445623489e-9,***,0.67325***
2,CAPM,(Intercept),0.01064103236925344,0.003680752658660111,2.8909935972516694,0.005396183548683588,***,0.01064***
2,CAPM,R_Me,0.7138986441220302,0.08902060824298196,8.019476143922116,5.6812634302287265e-11,***,0.71390***
3,CAPM,(Intercept),0.012194887364062802,0.0031256441969841156,3.9015596771473398,2.511629740302984e-4,***,0.01219***
3,CAPM,R_Me,0.7761380826378305,0.07559506801197607,10.267046555403212,1.1582735274458269e-14,***,0.77614***
4,CAPM,(Intercept),0.009536952318154272,0.0028845445187155997,3.3062246938039244,0.001626206255429539,***,0.00954***
4,CAPM,R_Me,0.8508114664776627,0.06976396714836533,12.19557174362322,1.2013406814283874e-17,***,0.85081***
5,CAPM,(Intercept),0.007310074838066909,0.0023211674419834176,3.1493095697656837,0.002586535378512028,***,0.00731***
5,CAPM,R_Me,0.8951078852864273,0.056138446856244244,15.94464997541814,7.25961785975275e-23,***,0.89511***
6,CAPM,(Intercept),0.006752594494963115,0.00196723901378816,3.4325236779236943,0.0011092775353621967,***,0.00675***
6,CAPM,R_Me,0.9039426916539612,0.04757853347051467,18.99896078583742,1.399417891374223e-26,***,0.90394***
7,CAPM,(Intercept),0.0027910985204603897,0.001741194326826021,1.6029793328974442,0.11437177841703282,,0.00279
7,CAPM,R_Me,0.9430883128295582,0.042111544137200106,22.39500669357934,3.116559660154583e-30,***,0.94309***
8,CAPM,(Intercept),0.0016327865307470659,0.0017077039886818405,0.9561297166070317,0.34297510771509643,,0.00163
8,CAPM,R_Me,0.9474673742193355,0.04130156570389147,22.940228973693948,8.876126546285503e-31,***,0.94747***
9,CAPM,(Intercept),3.5035669676078667e-4,0.001446520412089712,0.24220653495974162,0.8094745283584066,,0.00035
9,CAPM,R_Me,1.0387878582183305,0.03498472700064305,29.692610098093283,9.017661525609883e-37,***,1.03879***
