chapter,notebook,cell_id,cell_type,first_line
ch03,ch03.ipynb,1,markdown,## 第3章 Rの導入
ch03,ch03.ipynb,2,code,# ch03_01: 無リスク金利の値を格納する変数Rを作成
ch03,ch03.ipynb,3,markdown,#### 3.1.2 ベクトル変数の定義
ch03,ch03.ipynb,4,code,# ch03_02: 2次元の無リスク金利ベクトルを作成
ch03,ch03.ipynb,5,code,# ch03_03: 11次元の無リスク金利ベクトルを作成
ch03,ch03.ipynb,6,code,# ch03_04: ベクトルの要素へのアクセス
ch03,ch03.ipynb,7,code,# ch03_05: 1年後の確実な100万円の現在価値
ch03,ch03.ipynb,8,code,# ch03_06: 次元が一致するベクトル同士の割り算
ch03,ch03.ipynb,9,markdown,#### 3.1.3 基本パッケージによる作図
ch03,ch03.ipynb,10,code,# ch03_07: 割引率と現在価値の関係を描画
ch03,ch03.ipynb,11,code,# ch03_08: 割引率と現在価値の関係を表した図の見栄えを改善
ch03,ch03.ipynb,12,code,# ch03_09: 割引率と現在価値の関係を表した図をPNG形式で出力
ch03,ch03.ipynb,13,code,# ch03_10: 3行2列の行列の作成
ch03,ch03.ipynb,14,code,# ch03_11: 文字を要素とする行列の作成
ch03,ch03.ipynb,15,code,# ch03_12: リストの作成
ch03,ch03.ipynb,16,code,# ch03_13: データフレームの作成
ch03,ch03.ipynb,17,markdown,### 3.2 for文の使い方
ch03,ch03.ipynb,18,code,# ch03_14: 割引率を0.1とする場合のプロジェクトXのNPVの計算
ch03,ch03.ipynb,19,markdown,#### 3.2.2 for文を用いたNPVの計算
ch03,ch03.ipynb,20,code,# ch03_15: for文を用いたプロジェクトXのNPVの計算 (1)
ch03,ch03.ipynb,21,code,# ch03_16: for文を用いたプロジェクトXのNPVの計算 (2)
ch03,ch03.ipynb,22,code,# ch03_17: NPVに基づく投資判断
ch03,ch03.ipynb,23,markdown,#### 3.2.3 NPVと割引率の関係の可視化
ch03,ch03.ipynb,24,code,# ch03_18: 異なる割引率に対してプロジェクトXのNPVを計算した上で折れ線グラフに可視化
ch03,ch03.ipynb,25,code,# ch03_19: ベクトル化によるNPVの計算
ch03,ch03.ipynb,26,markdown,### 3.3 独自関数の定義の仕方
ch03,ch03.ipynb,27,code,# ch03_20: 任意の割引率に対して1年後に受け取る100万円の現在価値を計算する独自関数
ch03,ch03.ipynb,28,markdown,**コードch03_21は，R言語特有のものであるため割愛**
ch03,ch03.ipynb,29,markdown,#### 3.3.2 現在価値を計算する関数の機能拡張
ch03,ch03.ipynb,30,code,# ch03_22: 二つの割引率に対して現在価値を計算できるようcalculate_PV()を拡張
ch03,ch03.ipynb,31,code,# ch03_23: 任意の割引率とキャッシュフローに対して現在価値を計算できるようcalculate_PV()を拡張
ch03,ch03.ipynb,32,code,# ch03_24: コメントが詳細で分かりやすいコードの例
ch03,ch03.ipynb,33,code,# ch03_25: 関数内でグローバル変数の変更を試みた例
ch03,ch03.ipynb,34,markdown,### 3.4 演習:IRRの計算
ch03,ch03.ipynb,35,code,# ch03_26: poly.polyroots()に基づく3次方程式の数値解
ch03,ch03.ipynb,36,code,# ch03_27: 数値解の中から実数解を目視で選んでIRRを計算
ch03,ch03.ipynb,37,markdown,#### 3.4.3 実数解の抽出
ch03,ch03.ipynb,38,code,# ch03_28: imagメソッドを用いて虚部のみ抽出
ch03,ch03.ipynb,39,code,# ch03_29: 等価演算子==を用いて実数解かどうかを判定
ch03,ch03.ipynb,40,markdown,**コードch03_30は，R言語特有のものであるため割愛**
ch03,ch03.ipynb,41,code,# ch03_31: 数値解の中から実数解を機械的に抽出
ch03,ch03.ipynb,42,markdown,#### 3.4.4 IRRを計算する独自関数の定義
ch03,ch03.ipynb,43,code,# ch03_32: 任意のCFに対してIRRを計算するcalculate_IRR()関数を定義
ch03,ch03.ipynb,44,code,# ch03_33: calculate_IRR()関数の実行例
ch03,ch03.ipynb,45,code,# ch03_34: calculate_IRR()関数の完成版（エラーメッセージ付き）
ch03,ch03.ipynb,46,code,# ch03_35: エラーメッセージが表示される例
ch03,ch03.ipynb,47,markdown,### 3.5 データフレーム入門
ch03,ch03.ipynb,48,code,# ch03_36: CSVファイルの読み込み
ch03,ch03.ipynb,49,code,# ch03_37: データフレームの冒頭を確認
ch03,ch03.ipynb,50,code,# ch03_38: データフレームの行数を確認
ch03,ch03.ipynb,51,code,# ch03_39: データフレームの内部構造を確認
ch03,ch03.ipynb,52,code,# ch03_40: 日次リターンの平均値を計算
ch03,ch03.ipynb,53,code,# ch03_41: 日次リターンの標準偏差と相関を計算
ch03,ch03.ipynb,54,code,# ch03_42: 最も日次リターンが低い日付を抽出
ch03,ch03.ipynb,55,code,# ch03_43: 日次リターンがプラスである日付のみを抽出
ch03,ch03.ipynb,56,code,# ch03_44: データフレームにおける列の作成・書き換え・削除
ch03,ch03.ipynb,57,code,# ch03_45: データフレームをCSVファイルに出力
ch03,ch03.ipynb,58,markdown,### 3.6 ファクター型と日付型
ch03,ch03.ipynb,59,code,# ch03_46: industry列を文字型として定義
ch03,ch03.ipynb,60,code,# ch03_47: industry列をカテゴリ型に変換
ch03,ch03.ipynb,61,markdown,#### 3.6.2 日付型入門
ch03,ch03.ipynb,62,code,# ch03_48: date列を文字型として定義
ch03,ch03.ipynb,63,code,# ch03_49: date列を日時型に変換
ch03,ch03.ipynb,64,code,# ch03_50: 日時型の変数に対する足し算の例
ch03,ch03.ipynb,65,markdown,### 3.7 外部パッケージの使い方
ch03,ch03.ipynb,66,markdown,**ch03_50-ch03_53は，Rのtidyverseパッケージの導入に関するコードのため割愛**
ch03,ch03.ipynb,67,code,# ch03_54: 異なる初期投資額に対して内部収益率をそれぞれ計算
ch03,ch03.ipynb,68,code,#### 3.7.3 matplotlibによる作図
ch03,ch03.ipynb,69,code,# ch03_55: 初期投資額と内部収益率の関係を描画
ch03,ch03.ipynb,70,code,# ch03_56: 折れ線グラフの上に点グラフを追加
ch03,ch03.ipynb,71,code,# ch03_57: 図の見栄えを改善
ch03,ch03.ipynb,72,code,# ch03_58: 初期投資額が100の点を強調
ch03,ch03.ipynb,73,code,# 以上のコードについて，動作確認をした実行環境の表示
ch04,ch04.ipynb,1,markdown,## 第4章 財務データの取得と可視化
ch04,ch04.ipynb,2,code,# ch04_01: ライブラリの読み込み
ch04,ch04.ipynb,3,markdown,#### 4.2.2 財務データの読み込み
ch04,ch04.ipynb,4,code,# ch04_02: CSVファイルの読み込み
ch04,ch04.ipynb,5,code,# ch04_03: firm_ID列とindustry_ID列をカテゴリ型に変換
ch04,ch04.ipynb,6,markdown,**コードch04_04は，R言語特有のものであるため割愛**
ch04,ch04.ipynb,7,markdown,### 4.3 探索的データ分析
